id,type,name,vintage,adapted_from,adaptation,sequel,related,spinoff,episode_count,genres,themes,nb_votes,weighted_score,bayesian_score,begin_year,end_year
24129,TV,Battle Game in 5 Seconds,7/12/2021,24128,NA,NA,NA,NA,NA,NA,NA,182,5.6772,5.78963,2021,NA
24125,movie,Tono Monogatari,4/24/2010,24124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA
24122,movie,Starry Tales: Seiza wa Toki wo Koete,3/19/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA
24120,movie,Tongari Atama no Gonta,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA
24112,TV,Date A Live IV,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA
24111,movie,Kitar?? Tanj??: Gegege no Nazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24110,TV,Sabikui Bisco,1/10/2022,24108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA
24107,TV,Devil is a Part-Timer!,2022-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA
24106,TV,In the Land of Leadale,1/5/2022,22742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA
24105,TV,Misfit of Demon King Academy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24104,TV,RE-MAIN,7/3/2021,NA,NA,NA,NA,NA,NA,NA,NA,109,6.4502,6.5538,2021,NA
24103,TV,Dinosaur Biyori,4/3/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA
24101,TV,General Manager of Baby,3/29/2021,24100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA
24099,TV,Mazica Party,4/4/2021,NA,NA,NA,NA,NA,NA,NA,NA,1,7,NA,2021,NA
24096,movie,Journey,2020-02,NA,NA,NA,NA,NA,NA,NA,NA,1,7,NA,2020,NA
24095,TV,Rent-A-Girlfriend,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA
24093,TV,RPG Real Estate,2022,24092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA
24091,TV,Y??kai Watch ???,4/9/2021,NA,NA,NA,NA,NA,NA,NA,NA,1,7,NA,2021,NA
24090,TV,Remake Our Life!,7/3/2021,22945,NA,NA,NA,NA,NA,NA,NA,274,6.4424,6.48656,2021,NA
24087,TV,Kageki Shoujo!!,7/3/2021,23637,NA,NA,NA,NA,NA,NA,school life,245,7.9777,7.95515,2021,NA
24085,TV,Eminence in Shadow,2022,22171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA
24084,movie,Gekij????ban Otoppe Papa Don't Cry,10/15/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA
24080,TV,Shikaruneko,2021-04,NA,NA,NA,24081,NA,NA,NA,NA,NA,NA,NA,2021,NA
24079,TV,"Ore, Tsushima",7/2/2021,24078,NA,NA,NA,NA,NA,NA,NA,6,5.0153,NA,2021,NA
24077,TV,Dropkick on My Devil! X,2022-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA
24072,movie,Cocolors,10/9/2016,NA,NA,NA,NA,NA,NA,NA,NA,2,8.1782,NA,2016,NA
24068,TV,Crash!,2012-11-13 to 2012-11-27,20283,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2012,2012
24066,movie,Aria the Crepuscolo,3/5/2021,NA,NA,24163,NA,NA,NA,slice of life,NA,12,8.2415,7.86815,2021,NA
24065,TV,Mewkledreamy Mix!,4/11/2021,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,2021,NA
24064,movie,Summer Ghost,11/12/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA
